l=26 s=1;;;;l=24 s=1;;;;l=22 s=1;;;;l=20 s=1;;;;l=18 s=1;;;;l=26 s=1.5;;;;l=24 s=1.5;;;;l=22 s=1.5;;;;l=20 s=1.5;;;;l=18 s=1.5;;;;l=26 s=2;;;;l=24 s=2;;;;l=22 s=2;;;;l=20 s=2;;;;l=18 s=2;
8,14;-16,24091;;;8,14;-16,75443;;;8,14;-29,26365;;;8,14;-27,09753;;;8,14;-23,17004;;;8,14;-11,27242;;;8,14;-15,49812;;;8,14;-23,97326;;;8,14;-29,83386;;;8,14;-29,83386;;;8,14;-10,23987;;;8,14;-10,23987;;;8,14;-22,01823;;;8,14;-22,01823;;;8,14;-19,25606
8,144;-15,84443;;;8,144;-16,54825;;;8,144;-28,77995;;;8,144;-27,43232;;;8,144;-23,07823;;;8,144;-11,49088;;;8,144;-15,57654;;;8,144;-24,15347;;;8,144;-29,78991;;;8,144;-29,78991;;;8,144;-10,22999;;;8,144;-10,22999;;;8,144;-22,13395;;;8,144;-22,13395;;;8,144;-19,2042
8,148;-15,40837;;;8,148;-16,3593;;;8,148;-28,29486;;;8,148;-27,80184;;;8,148;-22,98968;;;8,148;-11,71798;;;8,148;-15,6474;;;8,148;-24,34908;;;8,148;-29,69971;;;8,148;-29,69971;;;8,148;-10,19163;;;8,148;-10,19163;;;8,148;-22,25031;;;8,148;-22,25031;;;8,148;-19,17928
8,152;-14,96447;;;8,152;-16,18857;;;8,152;-27,81988;;;8,152;-28,20858;;;8,152;-22,90483;;;8,152;-11,94915;;;8,152;-15,70908;;;8,152;-24,55944;;;8,152;-29,56735;;;8,152;-29,56735;;;8,152;-10,12409;;;8,152;-10,12409;;;8,152;-22,36633;;;8,152;-22,36633;;;8,152;-19,18129
8,156;-14,53699;;;8,156;-16,03675;;;8,156;-27,36278;;;8,156;-28,65536;;;8,156;-22,82404;;;8,156;-12,1788;;;8,156;-15,76006;;;8,156;-24,78369;;;8,156;-29,39827;;;8,156;-29,39827;;;8,156;-10,02747;;;8,156;-10,02747;;;8,156;-22,48096;;;8,156;-22,48096;;;8,156;-19,21019
8,16;-14,14312;;;8,16;-15,90433;;;8,16;-26,92856;;;8,16;-29,14541;;;8,16;-22,74766;;;8,16;-12,40026;;;8,16;-15,79899;;;8,16;-25,0207;;;8,16;-29,19873;;;8,16;-29,19873;;;8,16;-9,902625;;;8,16;-9,902625;;;8,16;-22,59304;;;8,16;-22,59304;;;8,16;-19,26591
8,164;-13,79433;;;8,164;-15,79159;;;8,164;-26,52021;;;8,164;-29,68236;;;8,164;-22,67598;;;8,164;-12,6059;;;8,164;-15,8247;;;8,164;-25,26901;;;8,164;-28,97528;;;8,164;-28,97528;;;8,164;-9,751102;;;8,164;-9,751102;;;8,164;-22,70135;;;8,164;-22,70135;;;8,164;-19,34831
8,168;-13,49796;;;8,168;-15,6987;;;8,168;-26,13935;;;8,168;-30,27028;;;8,168;-22,60925;;;8,168;-12,78732;;;8,168;-15,83627;;;8,168;-25,5267;;;8,168;-28,7343;;;8,168;-28,7343;;;8,168;-9,575032;;;8,168;-9,575032;;;8,168;-22,8046;;;8,168;-22,8046;;;8,168;-19,45719
8,172;-13,25847;;;8,172;-15,62568;;;8,172;-25,78671;;;8,172;-30,91356;;;8,172;-22,5477;;;8,172;-12,93583;;;8,172;-15,83309;;;8,172;-25,79135;;;8,172;-28,48171;;;8,172;-28,48171;;;8,172;-9,376988;;;8,172;-9,376988;;;8,172;-22,90145;;;8,172;-22,90145;;;8,172;-19,59223
8,176;-13,07846;;;8,176;-15,5725;;;8,176;-25,4624;;;8,176;-31,61674;;;8,176;-22,49151;;;8,176;-13,04308;;;8,176;-15,81485;;;8,176;-26,05992;;;8,176;-28,22278;;;8,176;-28,22278;;;8,176;-9,15983;;;8,176;-9,15983;;;8,176;-22,99055;;;8,176;-22,99055;;;8,176;-19,75295
8,18;-12,95925;;;8,18;-15,53903;;;8,18;-25,16617;;;8,18;-32,38401;;;8,18;-22,44084;;;8,18;-13,1019;;;8,18;-15,78159;;;8,18;-26,32863;;;8,18;-27,96204;;;8,18;-27,96204;;;8,18;-8,92655;;;8,18;-8,92655;;;8,18;-23,07054;;;8,18;-23,07054;;;8,18;-19,93866
8,184;-12,90137;;;8,184;-15,52506;;;8,184;-24,89752;;;8,184;-33,21811;;;8,184;-22,39583;;;8,184;-13,10718;;;8,184;-15,73368;;;8,184;-26,59296;;;8,184;-27,70327;;;8,184;-27,70327;;;8,184;-8,680147;;;8,184;-8,680147;;;8,184;-23,14008;;;8,184;-23,14008;;;8,184;-20,1483
8,188;-12,90472;;;8,188;-15,53034;;;8,188;-24,65586;;;8,188;-34,11815;;;8,188;-22,3566;;;8,188;-13,05651;;;8,188;-15,67177;;;8,188;-26,84753;;;8,188;-27,44958;;;8,188;-27,44958;;;8,188;-8,423517;;;8,188;-8,423517;;;8,188;-23,19791;;;8,188;-23,19791;;;8,188;-20,38041
8,192;-12,96868;;;8,192;-15,55451;;;8,192;-24,44054;;;8,192;-35,07533;;;8,192;-22,32322;;;8,192;-12,95056;;;8,192;-15,59683;;;8,192;-27,08621;;;8,192;-27,20345;;;8,192;-27,20345;;;8,192;-8,159376;;;8,192;-8,159376;;;8,192;-23,2429;;;8,192;-23,2429;;;8,192;-20,63292
8,196;-13,09202;;;8,196;-15,59717;;;8,196;-24,25087;;;8,196;-36,06501;;;8,196;-22,29576;;;8,196;-12,79297;;;8,196;-15,51003;;;8,196;-27,30224;;;8,196;-26,96685;;;8,196;-26,96685;;;8,196;-7,890206;;;8,196;-7,890206;;;8,196;-23,27402;;;8,196;-23,27402;;;8,196;-20,90293
8,2;-13,27266;;;8,2;-15,65779;;;8,2;-24,08622;;;8,2;-37,034;;;8,2;-22,27426;;;8,2;-12,58982;;;8,2;-15,41273;;;8,2;-27,48853;;;8,2;-26,74129;;;8,2;-26,74129;;;8,2;-7,618233;;;8,2;-7,618233;;;8,2;-23,29046;;;8,2;-23,29046;;;8,2;-21,18657
8,204;-13,50733;;;8,204;-15,73574;;;8,204;-23,94596;;;8,204;-37,88601;;;8,204;-22,25876;;;8,204;-12,34885;;;8,204;-15,30643;;;8,204;-27,63811;;;8,204;-26,52794;;;8,204;-26,52794;;;8,204;-7,345412;;;8,204;-7,345412;;;8,204;-23,29162;;;8,204;-23,29162;;;8,204;-21,47865
8,208;-13,7909;;;8,208;-15,83028;;;8,208;-23,82954;;;8,208;-38,48161;;;8,208;-22,24926;;;8,208;-12,07858;;;8,208;-15,19269;;;8,208;-27,74468;;;8,208;-26,32764;;;8,208;-26,32764;;;8,208;-7,073439;;;8,208;-7,073439;;;8,208;-23,27713;;;8,208;-23,27713;;;8,208;-21,77246
8,212;-14,11562;;;8,212;-15,94047;;;8,212;-23,73642;;;8,212;-38,68274;;;8,212;-22,24575;;;8,212;-11,78755;;;8,212;-15,07311;;;8,212;-27,80325;;;8,212;-26,14101;;;8,212;-26,14101;;;8,212;-6,803762;;;8,212;-6,803762;;;8,212;-23,24689;;;8,212;-23,24689;;;8,212;-22,05957
8,216;-14,47001;;;8,216;-16,06521;;;8,216;-23,66614;;;8,216;-38,43807;;;8,216;-22,24821;;;8,216;-11,48378;;;8,216;-14,94924;;;8,216;-27,81067;;;8,216;-25,96851;;;8,216;-25,96851;;;8,216;-6,5376;;;8,216;-6,5376;;;8,216;-23,20104;;;8,216;-23,20104;;;8,216;-22,32976
8,22;-14,8377;;;8,22;-16,20313;;;8,22;-23,61829;;;8,22;-37,82349;;;8,22;-22,25658;;;8,22;-11,17438;;;8,22;-14,82263;;;8,22;-27,76607;;;8,22;-25,81041;;;8,22;-25,81041;;;8,22;-6,27597;;;8,22;-6,27597;;;8,22;-23,13998;;;8,22;-23,13998;;;8,22;-22,57127
