        Frequency                _d0=38.65_l=19.4_sh=26.65/real
                  10.412                      -5.1342463
               10.415999                      -5.0756626
               10.419999                      -5.0174499
                  10.424                      -4.9598904
               10.427999                      -4.9032555
                  10.432                      -4.8477926
                  10.436                      -4.7937412
                   10.44                      -4.7413182
                  10.444                      -4.6907244
                  10.448                       -4.642149
                  10.452                       -4.595758
                  10.456                      -4.5517049
                   10.46                      -4.5101304
                  10.464                      -4.4711537
               10.467999                      -4.4348841
               10.471999                      -4.4014173
                  10.476                       -4.370832
                   10.48                      -4.3431964
               10.483999                      -4.3185654
                  10.488                       -4.296977
                  10.492                      -4.2784667
               10.495999                      -4.2630491
               10.499999                       -4.250731
               10.503999                      -4.2415104
                  10.508                      -4.2353702
                  10.512                      -4.2322841
                  10.516                      -4.2322125
                   10.52                      -4.2351089
                  10.524                      -4.2409158
                  10.528                      -4.2495594
                  10.532                       -4.260963
               10.535999                      -4.2750301
                   10.54                      -4.2916594
                  10.544                      -4.3107376
               10.547999                      -4.3321381
                  10.552                      -4.3557224
                  10.556                      -4.3813438
               10.559999                      -4.4088426
               10.563999                      -4.4380431
               10.567999                      -4.4687648
                  10.572                       -4.500813
               10.575999                      -4.5339794
               10.579999                      -4.5680504
               10.584001                      -4.6027985
                  10.588                      -4.6379852
                  10.592                      -4.6733694
                  10.596                      -4.7086945
               10.599999                      -4.7437029
                  10.604                      -4.7781291
                  10.608                      -4.8117051
                  10.612                      -4.8441639
                  10.616                      -4.8752298
                   10.62                      -4.9046431
                  10.624                      -4.9321346
               10.627999                      -4.9574561
               10.631999                      -4.9803581
                  10.636                      -5.0006104
               10.639999                      -5.0179968
               10.643999                      -5.0323191
                  10.648                      -5.0433969
                  10.652                      -5.0510783
                  10.656                      -5.0552311
                   10.66                      -5.0557523
                  10.664                      -5.0525684
                  10.668                      -5.0456309
                  10.672                      -5.0349245
                  10.676                      -5.0204668
                   10.68                      -5.0022974
                  10.684                      -4.9804883
                  10.688                      -4.9551458
               10.691999                      -4.9263926
               10.695999                      -4.8943825
                    10.7                      -4.8592892
                  10.704                      -4.8213077
               10.707999                      -4.7806468
                  10.712                      -4.7375364
                  10.716                      -4.6922135
               10.719999                      -4.6449251
               10.723999                      -4.5959277
               10.727999                      -4.5454793
                  10.732                      -4.4938402
                  10.736                      -4.4412727
                   10.74                      -4.3880329
                  10.744                      -4.3343782
                  10.748                      -4.2805543
                  10.752                      -4.2268038
                  10.756                      -4.1733618
               10.759999                      -4.1204505
                  10.764                      -4.0682859
                  10.768                      -4.0170727
               10.771999                      -3.9670026
                  10.776                      -3.9182589
                   10.78                      -3.8710108
               10.783999                      -3.8254168
               10.787999                      -3.7816253
               10.791999                      -3.7397699
                  10.796                      -3.6999774
               10.799999                      -3.6623595
                  10.804                       -3.627017
               10.808001                      -3.5940404
                  10.812                      -3.5635066
                  10.816                      -3.5354896
                   10.82                      -3.5100436
               10.823999                      -3.4872179
                  10.828                      -3.4670506
                  10.832                      -3.4495676
               10.835999                      -3.4347878
                   10.84                      -3.4227185
                  10.844                      -3.4133582
                  10.848                      -3.4066963
               10.851999                       -3.402709
               10.855999                      -3.4013655
                   10.86                      -3.4026246
               10.863999                      -3.4064355
               10.867999                      -3.4127374
                  10.872                      -3.4214587
                  10.876                      -3.4325171
                   10.88                       -3.445823
                  10.884                       -3.461273
                  10.888                      -3.4787581
                  10.892                      -3.4981489
                  10.896                      -3.5193193
                    10.9                      -3.5421205
                  10.904                      -3.5664029
                  10.908                      -3.5919998
                  10.912                      -3.6187377
               10.915999                      -3.6464353
               10.919999                       -3.674897
                  10.924                      -3.7039218
               10.927999                      -3.7333033
               10.931999                      -3.7628243
                  10.936                      -3.7922626
                   10.94                      -3.8213921
               10.943999                      -3.8499823
               10.947999                      -3.8777995
               10.951999                      -3.9046154
                  10.956                      -3.9301939
                   10.96                      -3.9543126
                  10.964                      -3.9767468
                  10.968                      -3.9972832
                  10.972                       -4.015718
                  10.976                      -4.0318584
                   10.98                      -4.0455284
               10.983999                      -4.0565643
                  10.988                      -4.0648289
                  10.992                      -4.0701942
               10.995999                      -4.0725636
                      11                       -4.071857
                  11.004                      -4.0680246
               11.007999                       -4.061039
               11.011999                      -4.0508957
               11.015999                      -4.0376205
                   11.02                      -4.0212603
               11.023999                      -4.0018902
                  11.028                      -3.9796071
               11.032001                      -3.9545271
                  11.036                      -3.9267921
                   11.04                      -3.8965602
                  11.044                      -3.8640051
               11.047999                      -3.8293173
                  11.052                      -3.7927003
                  11.056                      -3.7543635
               11.059999                      -3.7145302
                  11.064                      -3.6734252
                  11.068                      -3.6312809
                  11.072                      -3.5883281
               11.075999                      -3.5447984
               11.079999                       -3.500922
                  11.084                      -3.4569244
               11.087999                      -3.4130323
               11.091999                      -3.3694601
               11.096001                      -3.3264134
                    11.1                      -3.2841005
                  11.104                      -3.2427118
                  11.108                      -3.2024331
                  11.112                      -3.1634355
                  11.116                      -3.1258879
                   11.12                      -3.0899429
                  11.124                       -3.055747
                  11.128                      -3.0234325
                  11.132                      -2.9931235
                  11.136                      -2.9649343
               11.139999                      -2.9389653
               11.143999                      -2.9153128
                  11.148                      -2.8940549
