        Frequency / GHz                S2,1/abs,dB
                  7.4956                      -98.743818
                  7.4968                      -98.722503
                   7.498                      -98.701187
                  7.4992                       -98.67987
                  7.5004                      -98.658551
                  7.5016                      -98.637231
                  7.5028                       -98.61591
                   7.504                      -98.594587
                  7.5052                      -98.573263
                  7.5064                      -98.551937
                  7.5076                      -98.530609
                  7.5088                       -98.50928
                    7.51                       -98.48795
                  7.5112                      -98.466617
                  7.5124                      -98.445284
                  7.5136                      -98.423948
                  7.5148                      -98.402611
                   7.516                      -98.381272
                  7.5172                      -98.359931
                  7.5184                      -98.338589
                  7.5196                      -98.317245
                  7.5208                      -98.295899
                   7.522                      -98.274551
                  7.5232                      -98.253202
                  7.5244                      -98.231851
                  7.5256                      -98.210497
                  7.5268                      -98.189142
                   7.528                      -98.167785
                  7.5292                      -98.146426
                  7.5304                      -98.125065
                  7.5316                      -98.103702
                  7.5328                      -98.082337
                   7.534                       -98.06097
                  7.5352                        -98.0396
                  7.5364                      -98.018229
                  7.5376                      -97.996856
                  7.5388                       -97.97548
                    7.54                      -97.954103
                  7.5412                      -97.932723
                  7.5424                      -97.911341
                  7.5436                      -97.889957
                  7.5448                       -97.86857
                   7.546                      -97.847181
                  7.5472                       -97.82579
                  7.5484                      -97.804397
                  7.5496                      -97.783001
                  7.5508                      -97.761603
                   7.552                      -97.740203
                  7.5532                        -97.7188
                  7.5544                      -97.697395
                  7.5556                      -97.675987
                  7.5568                      -97.654577
                   7.558                      -97.633164
                  7.5592                      -97.611749
                  7.5604                      -97.590331
                  7.5616                      -97.568911
                  7.5628                      -97.547488
                   7.564                      -97.526063
                  7.5652                      -97.504635
                  7.5664                      -97.483204
                  7.5676                      -97.461771
                  7.5688                      -97.440335
                    7.57                      -97.418896
                  7.5712                      -97.397454
                  7.5724                       -97.37601
                  7.5736                      -97.354563
                  7.5748                      -97.333113
                   7.576                      -97.311661
                  7.5772                      -97.290205
                  7.5784                      -97.268747
                  7.5796                      -97.247286
                  7.5808                      -97.225822
                   7.582                      -97.204355
                  7.5832                      -97.182885
                  7.5844                      -97.161412
                  7.5856                      -97.139936
                  7.5868                      -97.118457
                   7.588                      -97.096975
                  7.5892                       -97.07549
                  7.5904                      -97.054002
                  7.5916                      -97.032511
                  7.5928                      -97.011016
                   7.594                      -96.989519
                  7.5952                      -96.968018
                  7.5964                      -96.946514
                  7.5976                      -96.925007
                  7.5988                      -96.903497
                     7.6                      -96.881984
                  7.6012                      -96.860467
                  7.6024                      -96.838947
